"2016-03-15T:08:23:34.137Z, ""load"", ""https://www.google.be/search?q=toledo&ie=utf-8&oe=utf-8&gws_rd=cr&ei=lgP1VuaWMefKygPAtol4"", """""
"2016-03-15T:08:23:35.577Z, ""click"", ""https://www.google.be/search?q=toledo&ie=utf-8&oe=utf-8&gws_rd=cr&ei=lgP1VuaWMefKygPAtol4"", ""https://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwjo-5fwwdvLAhUqjXIKHVCmA-sQFggoMAA&url=https%3A%2F%2Ftoledo.kuleuven.be%2F&usg=AFQjCNGhDbFi61MBsss_BXI9mLUQgNS22w"""
"2016-03-15T:08:23:35.657Z, ""beforeunload"", ""https://www.google.be/search?q=toledo&ie=utf-8&oe=utf-8&gws_rd=cr&ei=lgP1VuaWMefKygPAtol4"", """""
"2016-03-15T:08:23:36.453Z, ""load"", ""https://toledo.kuleuven.be/"", """""
"2016-03-15T:08:23:38.076Z, ""click"", ""https://toledo.kuleuven.be/"", ""https://toledo.kuleuven.be/portal"""
"2016-03-15T:08:23:38.506Z, ""load"", ""https://toledo.kuleuven.be/portal/"", """""
"2016-03-15T:08:23:38.084Z, ""beforeunload"", ""https://toledo.kuleuven.be/"", """""
"2016-03-15T:08:23:39.036Z, ""polling"", ""https://toledo.kuleuven.be/portal/#/home"", """""
"2016-03-15T:08:23:44.722Z, ""click"", ""https://toledo.kuleuven.be/portal/#/home"", ""https://p.cygnus.cc.kuleuven.be/webapps/tol-web-rs-bb-bb_bb60/goto_lu.do?batchUid=B-KUL-H02C6a-1516&entityId=urn%3Amace%3Akuleuven.be%3Akulassoc%3Akuleuven.be"""
"2016-03-15T:08:23:44.741Z, ""beforeunload"", ""https://toledo.kuleuven.be/portal/#/home"", """""
"2016-03-15T:08:23:47.290Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_662204_1&handle=announcements_entry&mode=view"", """""
