"2016-03-13T09:31:16.062Z, ""load"", ""https://www.google.be/?gws_rd=ssl"", """""
"2016-03-13T09:31:20.562Z, ""polling"", ""https://www.google.be/?gws_rd=ssl#q=postsecret"", """""
"2016-03-13T09:31:22.283Z, ""click"", ""https://www.google.be/?gws_rd=ssl#q=postsecret"", ""https://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&sqi=2&ved=0ahUKEwiTy_2BlNzLAhVHXBoKHc42DkEQFggiMAA&url=http%3A%2F%2Fpostsecret.com%2F&usg=AFQjCNHlMCbFc_xaVM9KqOLBb-XKgZa74Q&bvm=bv.117868183,d.bGQ"""
"2016-03-13T09:31:22.381Z, ""beforeunload"", ""https://www.google.be/?gws_rd=ssl#q=postsecret"", """""
"2016-03-13T09:31:24.060Z, ""load"", ""http://postsecret.com/"", """""
"2016-03-13T09:37:08.859Z, ""beforeunload"", ""http://postsecret.com/"", """""
"2016-03-13T09:37:10.685Z, ""load"", ""https://www.youtube.com/"", """""
"2016-03-13T09:37:41.778Z, ""polling"", ""https://www.youtube.com/results?search_query=good+mythical+morning"", """""
"2016-03-13T09:37:44.297Z, ""click"", ""https://www.youtube.com/results?search_query=good+mythical+morning"", ""https://www.youtube.com/user/rhettandlink2"""
"2016-03-13T09:37:44.419Z, ""polling"", ""https://www.youtube.com/user/rhettandlink2"", """""
"2016-03-13T09:38:39.952Z, ""click"", ""https://www.youtube.com/user/rhettandlink2"", ""https://www.youtube.com/playlist?list=PLJ49NV73ttrvdeqDBaqtbdE18ClnJ8tCL"""
"2016-03-13T09:38:39.970Z, ""beforeunload"", ""https://www.youtube.com/user/rhettandlink2"", """""
"2016-03-13T09:38:40.720Z, ""load"", ""https://www.youtube.com/playlist?list=PLJ49NV73ttrvdeqDBaqtbdE18ClnJ8tCL"", """""
"2016-03-13T09:38:48.290Z, ""beforeunload"", ""https://www.youtube.com/playlist?list=PLJ49NV73ttrvdeqDBaqtbdE18ClnJ8tCL"", """""
"2016-03-13T09:38:50.135Z, ""load"", ""https://www.youtube.com/user/rhettandlink2"", """""
"2016-03-13T09:38:55.055Z, ""click"", ""https://www.youtube.com/user/rhettandlink2"", ""https://www.youtube.com/watch?v=Vuk2VXWNvxA"""
"2016-03-13T09:38:55.179Z, ""polling"", ""https://www.youtube.com/watch?v=Vuk2VXWNvxA"", """""
"2016-03-13T09:50:19.836Z, ""click"", ""https://www.youtube.com/watch?v=Vuk2VXWNvxA"", ""https://www.youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQ"""
