"2016-03-20T09:58:12.320Z, ""load"", ""http://postsecret.com/"", """""
"2016-03-20T10:37:08.859Z, ""beforeunload"", ""http://postsecret.com/"", """""
"2016-03-20T10:37:10.685Z, ""load"", ""https://www.youtube.com/"", """""
"2016-03-20T10:37:44.297Z, ""click"", ""https://www.youtube.com/"", ""https://www.youtube.com/user/rhettandlink2"""
"2016-03-20T10:37:44.419Z, ""polling"", ""https://www.youtube.com/user/rhettandlink2"", """""
"2016-03-20T10:38:39.952Z, ""click"", ""https://www.youtube.com/user/rhettandlink2"", ""https://www.youtube.com/playlist?list=PLJ49NV73ttrvdeqDBaqtbdE18ClnJ8tCL"""
"2016-03-20T10:38:39.970Z, ""beforeunload"", ""https://www.youtube.com/user/rhettandlink2"", """""
"2016-03-20T10:38:40.720Z, ""load"", ""https://www.youtube.com/playlist?list=PLJ49NV73ttrvdeqDBaqtbdE18ClnJ8tCL"", """""
"2016-03-20T10:38:48.290Z, ""beforeunload"", ""https://www.youtube.com/playlist?list=PLJ49NV73ttrvdeqDBaqtbdE18ClnJ8tCL"", """""
"2016-03-20T10:38:50.135Z, ""load"", ""https://www.youtube.com/user/rhettandlink2"", """""
"2016-03-20T10:38:55.055Z, ""click"", ""https://www.youtube.com/user/rhettandlink2"", ""https://www.youtube.com/watch?v=tkXtBNb5VzE"""
"2016-03-20T10:38:55.179Z, ""polling"", ""https://www.youtube.com/watch?v=tkXtBNb5VzE"", """""
"2016-03-20T10:50:19.836Z, ""click"", ""https://www.youtube.com/watch?v=tkXtBNb5VzE"", ""https://www.youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQ"""
"2016-03-20T10:50:20.383Z, ""polling"", ""https://www.youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQ"", """""
"2016-03-20T10:50:49.180Z, ""beforeunload"", ""https://www.youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQ"", """""
"2016-03-20T11:49:31.585Z, ""load"", ""http://www.tijd.be/"", """""
"2016-03-20T11:49:52.909Z, ""click"", ""http://www.tijd.be/"", ""http://www.tijd.be/#politiek"""
"2016-03-20T11:49:53.155Z, ""polling"", ""http://www.tijd.be/#politiek"", """""
"2016-03-20T11:50:02.707Z, ""click"", ""http://www.tijd.be/#politiek"", ""http://www.tijd.be/marktenlive"""
"2016-03-20T11:50:02.728Z, ""beforeunload"", ""http://www.tijd.be/#politiek"", """""
"2016-03-20T11:50:03.586Z, ""load"", ""http://www.tijd.be/marktenlive"", """""
"2016-03-20T11:50:19.436Z, ""click"", ""http://www.tijd.be/marktenlive"", ""http://www.tijd.be/beurzen/euronext-brussel/bel20"""
"2016-03-20T11:50:19.451Z, ""beforeunload"", ""http://www.tijd.be/marktenlive"", """""
"2016-03-20T11:50:21.144Z, ""load"", ""http://www.tijd.be/beurzen/euronext-brussel/bel20"", """""
"2016-03-20T11:51:35.728Z, ""click"", ""http://www.tijd.be/beurzen/euronext-brussel/bel20"", ""javascript:void(0)"""
"2016-03-20T11:51:45.463Z, ""beforeunload"", ""http://www.tijd.be/beurzen/euronext-brussel/bel20"", """""
"2016-03-20T11:51:46.726Z, ""load"", ""http://www.tijd.be/politiek_en_economie/europa"", """""
"2016-03-20T11:52:19.463Z, ""click"", ""http://www.tijd.be/politiek_en_economie/europa"", ""http://www.tijd.be/"""
"2016-03-20T11:52:19.471Z, ""beforeunload"", ""http://www.tijd.be/politiek_en_economie/europa"", """""
"2016-03-20T11:52:20.840Z, ""load"", ""http://www.tijd.be/"", """""
"2016-03-20T11:52:44.214Z, ""beforeunload"", ""http://www.tijd.be/"", """""
"2016-03-20T11:52:45.926Z, ""load"", ""http://www.standaard.be/"", """""
"2016-03-20T11:52:56.562Z, ""click"", ""http://www.standaard.be/"", ""http://www.standaard.be/nieuws/binnenland"""
"2016-03-20T11:52:56.568Z, ""beforeunload"", ""http://www.standaard.be/"", """""
"2016-03-20T11:52:57.643Z, ""load"", ""http://www.standaard.be/nieuws/binnenland"", """""
"2016-03-20T11:53:03.782Z, ""click"", ""http://www.standaard.be/nieuws/binnenland"", ""http://www.standaard.be/cnt/dmf20160325_02203316"""
"2016-03-20T11:53:03.795Z, ""beforeunload"", ""http://www.standaard.be/nieuws/binnenland"", """""
"2016-03-20T11:53:04.665Z, ""load"", ""http://www.standaard.be/cnt/dmf20160325_02203316"", """""
"2016-03-20T11:53:27.817Z, ""click"", ""http://www.standaard.be/cnt/dmf20160325_02203316"", ""http://www.standaard.be/nieuws/binnenland"""
"2016-03-20T11:53:27.824Z, ""beforeunload"", ""http://www.standaard.be/cnt/dmf20160325_02203316"", """""
"2016-03-20T11:53:28.200Z, ""load"", ""http://www.standaard.be/nieuws/binnenland"", """""
"2016-03-20T11:53:45.430Z, ""click"", ""http://www.standaard.be/nieuws/binnenland"", ""http://www.standaard.be/cnt/dmf20160325_02203289"""
"2016-03-20T11:53:45.443Z, ""beforeunload"", ""http://www.standaard.be/nieuws/binnenland"", """""
"2016-03-20T11:53:46.262Z, ""load"", ""http://www.standaard.be/cnt/dmf20160325_02203289"", """""
"2016-03-20T11:54:13.288Z, ""click"", ""http://www.standaard.be/cnt/dmf20160325_02203289"", ""http://www.standaard.be/nieuws/buitenland"""
"2016-03-20T11:54:13.293Z, ""beforeunload"", ""http://www.standaard.be/cnt/dmf20160325_02203289"", """""
"2016-03-20T11:54:13.734Z, ""load"", ""http://www.standaard.be/nieuws/buitenland"", """""
"2016-03-20T11:54:38.705Z, ""click"", ""http://www.standaard.be/nieuws/buitenland"", ""http://www.standaard.be/cnt/dmf20160324_02200819"""
"2016-03-20T11:54:38.720Z, ""beforeunload"", ""http://www.standaard.be/nieuws/buitenland"", """""
"2016-03-20T11:54:39.526Z, ""load"", ""http://www.standaard.be/cnt/dmf20160324_02200819"", """""
"2016-03-20T11:54:56.229Z, ""click"", ""http://www.standaard.be/cnt/dmf20160324_02200819"", ""http://www.standaard.be/nieuws/buitenland"""
"2016-03-20T11:54:56.253Z, ""beforeunload"", ""http://www.standaard.be/cnt/dmf20160324_02200819"", """""
"2016-03-20T11:54:57.022Z, ""load"", ""http://www.standaard.be/nieuws/buitenland"", """""
"2016-03-20T11:55:08.926Z, ""click"", ""http://www.standaard.be/nieuws/buitenland"", ""http://www.standaard.be/nieuws/meest-recent"""
"2016-03-20T11:55:08.950Z, ""beforeunload"", ""http://www.standaard.be/nieuws/buitenland"", """""
"2016-03-20T11:55:09.951Z, ""load"", ""http://www.standaard.be/nieuws/meest-recent"", """""
"2016-03-20T11:55:54.554Z, ""beforeunload"", ""http://www.standaard.be/nieuws/meest-recent"", """""
"2016-03-20T11:55:55.151Z, ""load"", ""https://www.google.be/?gws_rd=ssl"", """""
