"2016-03-22T14:40:17.461Z, ""load"", ""https://www.google.be/search?q=toledo&ie=utf-8&oe=utf-8&gws_rd=cr&ei=MbD1Vq7RJYbTOvn4pLgC"", """"   "
"2016-03-22T14:40:19.097Z, ""click"", ""https://www.google.be/search?q=toledo&ie=utf-8&oe=utf-8&gws_rd=cr&ei=MbD1Vq7RJYbTOvn4pLgC"", ""https://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwi2hKy-5tzLAhXBaA8KHX9yBKwQFggjMAA&url=https%3A%2F%2Ftoledo.kuleuven.be%2F&usg=AFQjCNGhDbFi61MBsss_BXI9mLUQgNS22w""    "
"2016-03-22T14:40:19.202Z, ""beforeunload"", ""https://www.google.be/search?q=toledo&ie=utf-8&oe=utf-8&gws_rd=cr&ei=MbD1Vq7RJYbTOvn4pLgC"", """"   "
"2016-03-22T14:40:20.358Z, ""load"", ""https://toledo.kuleuven.be/"", """" "
"2016-03-22T14:40:21.817Z, ""click"", ""https://toledo.kuleuven.be/"", ""https://toledo.kuleuven.be/portal""   "
"2016-03-22T14:40:21.835Z, ""beforeunload"", ""https://toledo.kuleuven.be/"", """" "
"2016-03-22T14:40:21.944Z, ""load"", ""https://toledo.kuleuven.be/portal/"", """"  "
"2016-03-22T14:40:21.993Z, ""beforeunload"", ""https://toledo.kuleuven.be/portal/"", """"  "
"2016-03-22T14:40:22.471Z, ""load"", ""https://idp.kuleuven.be/idp/view/login.htm"", """"  "
"2016-03-22T14:40:36.610Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/view/login.htm"", """"  "
"2016-03-22T14:40:36.999Z, ""load"", ""https://idp.kuleuven.be/idp/profile/SAML2/POST/SSO"", """"  "
"2016-03-22T14:40:37.048Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/profile/SAML2/POST/SSO"", """"  "
"2016-03-22T14:40:37.635Z, ""load"", ""https://toledo.kuleuven.be/portal/"", """"  "
"2016-03-22T14:40:38.180Z, ""polling"", ""https://toledo.kuleuven.be/portal/#/home"", """" "
