"2016-03-26T20:05:47.188Z, ""load"", ""https://www.google.be/search?q=kblvb&ie=utf-8&oe=utf-8&gws_rd=cr&ei=m-v2VrCZNMWVaJqihTg"", """""
"2016-03-26T20:05:48.548Z, ""click"", ""https://www.google.be/search?q=kblvb&ie=utf-8&oe=utf-8&gws_rd=cr&ei=m-v2VrCZNMWVaJqihTg"", ""https://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwiPrPakk9_LAhXIvRQKHRiSDT8QFggcMAA&url=http%3A%2F%2Fwww.kblvb.be%2F&usg=AFQjCNFqavnzOVu_VTEDsDZuGmA8cCh9lw&sig2=olqupbBaBD1X3lWv1PYFjQ"""
"2016-03-26T20:05:48.637Z, ""beforeunload"", ""https://www.google.be/search?q=kblvb&ie=utf-8&oe=utf-8&gws_rd=cr&ei=m-v2VrCZNMWVaJqihTg"", """""
"2016-03-26T20:05:49.142Z, ""load"", ""http://www.kblvb.be/"", """""
"2016-03-26T20:05:52.272Z, ""click"", ""http://www.kblvb.be/"", ""http://www.kblvb.be/Competitie/Wedstrijdplanning/"""
"2016-03-26T20:05:52.276Z, ""beforeunload"", ""http://www.kblvb.be/"", """""
"2016-03-26T20:05:52.673Z, ""load"", ""http://www.kblvb.be/Competitie/Wedstrijdplanning/"", """""
"2016-03-26T20:05:57.686Z, ""beforeunload"", ""http://www.kblvb.be/Competitie/Wedstrijdplanning/"", """""
"2016-03-26T20:05:58.082Z, ""load"", ""http://www.kblvb.be/Competitie/Wedstrijdplanning/?Doelgroep=V"", """""
"2016-03-26T20:06:01.785Z, ""beforeunload"", ""http://www.kblvb.be/Competitie/Wedstrijdplanning/?Doelgroep=V"", """""
"2016-03-26T20:06:02.149Z, ""load"", ""http://www.kblvb.be/Competitie/Wedstrijdplanning/Resultaten.asp?SubNavID=competitie&Afdeling=1&Doelgroep=V&Reeks=VB&Seizoen=2015-2016&Keuze=RES"", """""
"2016-03-26T20:06:10.301Z, ""click"", ""http://www.kblvb.be/Competitie/Wedstrijdplanning/Resultaten.asp?SubNavID=competitie&Afdeling=1&Doelgroep=V&Reeks=VB&Seizoen=2015-2016&Keuze=RES"", ""http://www.kblvb.be/Competitie/Wedstrijdplanning/Rangschikking.asp?SubNavID=competitie&Afdeling=1&Doelgroep=V&Reeks=VB&Seizoen=2015-2016&Keuze=RES"""
"2016-03-26T20:06:10.306Z, ""beforeunload"", ""http://www.kblvb.be/Competitie/Wedstrijdplanning/Resultaten.asp?SubNavID=competitie&Afdeling=1&Doelgroep=V&Reeks=VB&Seizoen=2015-2016&Keuze=RES"", """""
"2016-03-26T20:06:10.514Z, ""load"", ""http://www.kblvb.be/Competitie/Wedstrijdplanning/Rangschikking.asp?SubNavID=competitie&Afdeling=1&Doelgroep=V&Reeks=VB&Seizoen=2015-2016&Keuze=RES"", """""
"2016-03-26T20:06:22.756Z, ""beforeunload"", ""http://www.kblvb.be/Competitie/Wedstrijdplanning/Rangschikking.asp?SubNavID=competitie&Afdeling=1&Doelgroep=V&Reeks=VB&Seizoen=2015-2016&Keuze=RES"", """""
"2016-03-26T20:06:22.944Z, ""load"", ""http://www.vbal4.be/p010344.htm"", """""
"2016-03-26T20:06:34.486Z, ""beforeunload"", ""http://www.vbal4.be/p010344.htm"", """""
"2016-03-26T20:06:34.658Z, ""load"", ""http://www.vbal4.be/"", """""
"2016-03-26T20:06:36.599Z, ""click"", ""http://www.vbal4.be/"", ""http://www.vbal4.be/p010344.htm"""
"2016-03-26T20:06:36.602Z, ""beforeunload"", ""http://www.vbal4.be/"", """""
"2016-03-26T20:06:36.818Z, ""load"", ""http://www.vbal4.be/p010344.htm"", """""
"2016-03-26T20:06:44.521Z, ""beforeunload"", ""http://www.vbal4.be/p010344.htm"", """""
"2016-03-26T20:07:09.712Z, ""beforeunload"", ""http://www.foxnews.com/"", """""
"2016-03-26T20:07:10.728Z, ""load"", ""http://deredactie.be/cm/vrtnieuws"", """""
"2016-03-26T20:07:34.230Z, ""load"", ""http://deredactie.be/cm/vrtnieuws/binnenland/1.2612819"", """""
"2016-03-26T20:07:40.432Z, ""load"", ""http://sporza.be/cm/sporza/voetbal/1.2612803"", """""
"2016-03-26T20:07:48.813Z, ""load"", ""http://deredactie.be/cm/vrtnieuws/binnenland/1.2612593"", """""
"2016-03-26T20:08:55.845Z, ""beforeunload"", ""http://deredactie.be/cm/vrtnieuws/binnenland/1.2612593"", """""
"2016-03-26T20:09:15.450Z, ""beforeunload"", ""http://www.politico.com/magazine/story/2016/03/donald-trump-republican-convention-213770"", """""
"2016-03-26T20:09:57.148Z, ""beforeunload"", ""http://sporza.be/cm/sporza/voetbal/1.2612803"", """""
"2016-03-26T20:15:31.860Z, ""beforeunload"", ""http://deredactie.be/cm/vrtnieuws/binnenland/1.2612819"", """""
"2016-03-26T20:16:07.166Z, ""beforeunload"", ""http://deredactie.be/cm/vrtnieuws"", """""
"2016-03-26T20:16:08.891Z, ""load"", ""https://www.facebook.com/"", """""
"2016-03-26T20:16:09.970Z, ""click"", ""https://www.facebook.com/"", ""https://www.facebook.com/#"""
"2016-03-26T20:17:55.530Z, ""click"", ""https://www.facebook.com/"", ""https://www.facebook.com/#"""
"2016-03-26T20:17:57.100Z, ""click"", ""https://www.facebook.com/"", ""https://www.facebook.com/#"""
"2016-03-26T20:20:45.932Z, ""click"", ""https://www.facebook.com/"", ""https://www.facebook.com/#"""
"2016-03-26T20:20:57.316Z, ""beforeunload"", ""https://www.facebook.com/"", """""
"2016-03-26T20:20:58.230Z, ""load"", ""http://deredactie.be/cm/vrtnieuws"", """""
"2016-03-26T20:21:03.321Z, ""click"", ""http://deredactie.be/cm/vrtnieuws"", ""http://deredactie.be/cm/vrtnieuws/binnenland/1.2612819"""
"2016-03-26T20:21:03.326Z, ""beforeunload"", ""http://deredactie.be/cm/vrtnieuws"", """""
"2016-03-26T20:21:03.749Z, ""load"", ""http://deredactie.be/cm/vrtnieuws/binnenland/1.2612819"", """""
"2016-03-26T20:21:14.853Z, ""load"", ""http://www.knack.be/nieuws/"", """""
"2016-03-26T20:24:33.510Z, ""beforeunload"", ""http://deredactie.be/cm/vrtnieuws/binnenland/1.2612819"", """""
"2016-03-26T20:24:35.251Z, ""load"", ""https://www.facebook.com/"", """""
"2016-03-26T20:24:45.633Z, ""beforeunload"", ""https://www.facebook.com/"", """""
"2016-03-26T20:24:46.879Z, ""load"", ""https://toledo.kuleuven.be/"", """""
"2016-03-26T20:24:48.807Z, ""click"", ""https://toledo.kuleuven.be/"", ""https://toledo.kuleuven.be/portal"""
"2016-03-26T20:24:48.815Z, ""beforeunload"", ""https://toledo.kuleuven.be/"", """""
"2016-03-26T20:24:48.934Z, ""load"", ""https://toledo.kuleuven.be/portal/"", """""
"2016-03-26T20:24:48.942Z, ""beforeunload"", ""https://toledo.kuleuven.be/portal/"", """""
"2016-03-26T20:24:49.347Z, ""load"", ""https://idp.kuleuven.be/idp/view/login.htm"", """""
"2016-03-26T20:24:50.849Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/view/login.htm"", """""
"2016-03-26T20:24:51.153Z, ""load"", ""https://idp.kuleuven.be/idp/profile/SAML2/POST/SSO"", """""
"2016-03-26T20:24:51.163Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/profile/SAML2/POST/SSO"", """""
"2016-03-26T20:24:51.704Z, ""load"", ""https://toledo.kuleuven.be/portal/"", """""
"2016-03-26T20:24:52.237Z, ""polling"", ""https://toledo.kuleuven.be/portal/#/home"", """""
"2016-03-26T20:25:11.608Z, ""beforeunload"", ""http://www.knack.be/nieuws/"", """""
"2016-03-26T20:25:12.516Z, ""load"", ""http://www.standaard.be/"", """""
"2016-03-26T20:25:46.717Z, ""click"", ""http://www.standaard.be/"", ""http://www.standaard.be/cnt/dmf20160325_02203400"""
"2016-03-26T20:25:46.724Z, ""beforeunload"", ""http://www.standaard.be/"", """""
"2016-03-26T20:25:47.459Z, ""load"", ""http://www.standaard.be/cnt/dmf20160325_02203400"", """""
"2016-03-26T20:25:57.589Z, ""beforeunload"", ""http://www.standaard.be/cnt/dmf20160325_02203400"", """""
"2016-03-26T20:25:58.394Z, ""load"", ""http://www.foxnews.com/"", """""
"2016-03-26T20:26:12.208Z, ""beforeunload"", ""http://www.foxnews.com/"", """""
"2016-03-26T20:26:13.000Z, ""load"", ""http://www.politico.com/"", """""
"2016-03-26T20:26:32.497Z, ""click"", ""http://www.politico.com/"", ""http://www.politico.com/"""
"2016-03-26T20:26:35.733Z, ""click"", ""http://www.politico.com/"", ""http://www.politico.com/"""
"2016-03-26T20:26:38.204Z, ""click"", ""http://www.politico.com/"", ""http://www.politico.com/"""
"2016-03-26T20:26:50.529Z, ""click"", ""http://www.politico.com/"", ""http://www.politico.com/"""
"2016-03-26T20:26:52.517Z, ""click"", ""http://www.politico.com/"", ""http://www.politico.com/"""
"2016-03-26T20:26:55.521Z, ""click"", ""http://www.politico.com/"", ""http://www.politico.com/"""
"2016-03-26T20:26:56.942Z, ""click"", ""http://www.politico.com/"", ""http://www.politico.com/"""
"2016-03-26T20:26:58.289Z, ""click"", ""http://www.politico.com/"", ""http://www.politico.com/"""
"2016-03-26T20:26:59.501Z, ""click"", ""http://www.politico.com/"", ""http://www.politico.com/"""
"2016-03-26T20:27:20.814Z, ""click"", ""https://toledo.kuleuven.be/portal/#/home"", ""https://toledo.kuleuven.be/portal/#/home"""
"2016-03-26T20:27:28.566Z, ""load"", ""https://www.overleaf.com/"", """""
"2016-03-26T20:27:43.320Z, ""beforeunload"", ""http://www.politico.com/"", """""
"2016-03-26T20:27:44.897Z, ""load"", ""https://www.facebook.com/"", """""
