www.standaard.be,www.standaard.be/nieuws
deredactie.be,deredactie.be/cm/vrtnieuws/videozone/programmas/journaal
onderwijsaanbod.kuleuven.be/opleidingen/n,onderwijsaanbod.kuleuven.be/opleidingen/n/SC_51230411.htm
sporza.be/cm/sporza/matchcenter/mc_voetbal,sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516
onderwijsaanbod.kuleuven.be,onderwijsaanbod.kuleuven.be/opleidingen/n/SC_51230411.htm
eng.kuleuven.be,eng.kuleuven.be/studenten/programmas/index.html
sporza.be/cm,sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516
www.standaard.be/plus,www.standaard.be/plus/ochtend
deredactie.be/cm/vrtnieuws,deredactie.be/cm/vrtnieuws/videozone/programmas/journaal
eng.kuleuven.be/studenten,eng.kuleuven.be/studenten/programmas/programma/index.html
www.standaard.be/cnt,www.standaard.be/cnt/dmf20160326_02205478
deredactie.be/cm/vrtnieuws/videozone/nieuws/politiek,deredactie.be/cm/vrtnieuws/videozone/nieuws/politiek/1.2612587
www.standaard.be/cnt,www.standaard.be/cnt/dmf20160324_02200483
sporza.be,sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516
sporza.be/cm/sporza/matchcenter,sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516
www.standaard.be/nieuws/sport,www.standaard.be/nieuws/sport/voetbal
