www.kuleuven.be/onderwijs,www.kuleuven.be/onderwijs/student
onderwijsaanbod.kuleuven.be/opleidingen/n,onderwijsaanbod.kuleuven.be/opleidingen/n/SC_51230411.htm
onderwijsaanbod.kuleuven.be/syllabi/e,onderwijsaanbod.kuleuven.be/syllabi/e/H02C1AE.htm
onderwijsaanbod.kuleuven.be/opleidingen,onderwijsaanbod.kuleuven.be/opleidingen/n/SC_51230411.htm
toledo.kuleuven.be,toledo.kuleuven.be/portal
p.cygnus.cc.kuleuven.be/webapps/blackboard,p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/course/tools
en.wikipedia.org/wiki,en.wikipedia.org/wiki/Communication
www.kuleuven.be/studentenvoorzieningen/jobdienst,www.kuleuven.be/studentenvoorzieningen/jobdienst/jobstudent
www.kuleuven.be,www.kuleuven.be/wieiswie/en/person/00015195
www.kuleuven.be/wieiswie,www.kuleuven.be/wieiswie/en/person/00015195
bib.kuleuven.be,bib.kuleuven.be/universiteitsarchief/collecties/musea
onderwijsaanbod.kuleuven.be/opleidingen/e,onderwijsaanbod.kuleuven.be/opleidingen/e/SC_51016880.htm
flask.pocoo.org/docs,flask.pocoo.org/docs/0.10
p.cygnus.cc.kuleuven.be/webapps/blackboard/execute,p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/course/tools
ca.wikipedia.org,ca.wikipedia.org/wiki/Ci%C3%A8ncia
bib.kuleuven.be/universiteitsarchief/collecties,bib.kuleuven.be/universiteitsarchief/collecties/musea
www.kuleuven.be/wieiswie/en/person,www.kuleuven.be/wieiswie/en/person/00015195
www.kuleuven.be/studenten,www.kuleuven.be/studentenvoorzieningen/jobdienst/jobstudent
